更新时间,#genre#
2024-11-08 06:33:25,url
📺央视频道,#genre#
CCTV-1,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265001/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=no$订阅源
CCTV-1,http://113.57.20.158:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/6000000001000029752/1.m3u8?channel-id=wasusyt&Contentid=6000000001000029752&livemode=1&stbId=3$订阅源
CCTV-1,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265002/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=no$订阅源
CCTV-1,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=3$订阅源
CCTV-2,http://202.100.46.58:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://218.89.240.144:59901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://60.12.183.46:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-2,http://vod.hnqczh.cn:808/hls/10/index.m3u8$订阅源
CCTV-2,http://123.129.70.178:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://gslbserv.itv.cmvideo.cn/1000000005000265003/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265003&livemode=1&stbId=3$订阅源
CCTV-3,http://123.182.60.29:9002/hls/3/index.m3u8$订阅源
CCTV-3,http://110.7.128.156:8096/tsfile/live/0003_1.m3u8$订阅源
CCTV-3,http://123.7.110.43:9901/tsfile/live/0003_1.m3u8$订阅源
CCTV-3,http://101.43.66.162/migunew.php?id=cctv3$订阅源
CCTV-4,http://123.182.60.29:9002/hls/4/index.m3u8$订阅源
CCTV-4,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265004$订阅源
CCTV-4,http://112.123.206.32:808/hls/4/index.m3u8$订阅源
CCTV-4,http://vod.hnqczh.cn:808/hls/12/index.m3u8$订阅源
CCTV-4,http://123.129.70.178:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000003000030177/1.m3u8?channel-id=ystenlive&Contentid=1000000003000030177&livemode=1&stbId=3$订阅源
CCTV-5,http://121.24.98.154:8090/hls/13/index.m3u8$订阅源
CCTV-5,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265005/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265005&livemode=1&stbId=no$订阅源
CCTV-5,http://123.182.60.29:9002/hls/7/index.m3u8$订阅源
CCTV-5,http://1732e975z9.zicp.fun:8082/hls/5/index.m3u8$订阅源
CCTV-5+,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265016/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265016&livemode=1&stbId=no$订阅源
CCTV-5+,http://39.98.201.151:9090/udp/225.1.8.20:8004$订阅源
CCTV-5+,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265016$订阅源
CCTV-5+,http://220.249.114.102:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5+,http://116.128.242.83:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-6,http://123.182.60.29:9002/hls/6/index.m3u8$订阅源
CCTV-6,http://218.89.240.144:59901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0$订阅源|1920x1080
CCTV-6,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265006$订阅源
CCTV-6,http://60.12.183.46:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-7,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000024341/index.m3u8?channel-id=ystenlive&Contentid=1000000001000024341&livemode=1&stbId=no$订阅源
CCTV-7,http://123.129.70.178:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-7,http://117.72.68.25:9930/migu.php?id=cctv7$订阅源
CCTV-7,http://119.163.199.98:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-7,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265007$订阅源
CCTV-8,http://117.72.68.25:9930/migu.php?id=cctv8$订阅源
